id,name,description_sale,description_purchase,default_code,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_product_29,Wall T100 PU.Foam Stainless steel 304/Stainless steel 304,,,P10029,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,3500,
product_product_30,Wall T100 PU.Foam Color steel sheet/Stainless steel 304,,,P10030,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2750,
product_product_31,Wall T100 PU.Foam Galvanized steel sheet/Stainless steel 305,,,P10031,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,2650,
product_product_32,Wall T125 PU.Foam Color steel sheet/Color steel sheet,,,P10032,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_33,Wall T125 PU.Foam Color steel sheet/Galvanized steel sheet,,,P10033,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_34,Wall T125 PU.Foam Galvanized steel sheet/Galvanized steel sheet,,,P10034,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_35,Wall T125 PU.Foam Stainless steel 304/Stainless steel 304,,,P10035,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_36,Wall T125 PU.Foam Color steel sheet/Stainless steel 304,,,P10036,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_37,Wall T125 PU.Foam Galvanized steel sheet/Stainless steel 305,,,P10037,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_38,Wall T150 PU.Foam Color steel sheet/Color steel sheet,,,P10038,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_39,Wall T150 PU.Foam Color steel sheet/Galvanized steel sheet,,,P10039,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_40,Wall T150 PU.Foam Galvanized steel sheet/Galvanized steel sheet,,,P10040,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_41,Wall T150 PU.Foam Stainless steel 304/Stainless steel 304,,,P10041,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_42,Wall T150 PU.Foam Color steel sheet/Stainless steel 304,,,P10042,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_43,Wall T150 PU.Foam Galvanized steel sheet/Stainless steel 305,,,P10043,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_44,Wall T200 PU.Foam Color steel sheet/Color steel sheet,,,P10044,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,3200,
product_product_45,Wall T200 PU.Foam Color steel sheet/Galvanized steel sheet,,,P10045,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,3150,
product_product_46,Wall T200 PU.Foam Galvanized steel sheet/Galvanized steel sheet,,,P10046,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,3100,
product_product_47,Wall T200 PU.Foam Stainless steel 304/Stainless steel 304,,,P10047,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,4700,
product_product_48,Wall T200 PU.Foam Color steel sheet/Stainless steel 304,,,P10048,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,3950,
product_product_49,Wall T200 PU.Foam Galvanized steel sheet/Stainless steel 305,,,P10049,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,3900,
product_product_50,Wall T25 Rockwool Color steel sheet/Color steel sheet,,,P10050,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_51,Wall T25 Rockwool Color steel sheet/Galvanized steel sheet,,,P10051,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_52,Wall T25 Rockwool Galvanized steel sheet/Galvanized steel sheet,,,P10052,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
