id,machine_id/id,thickness,density,settime
product_bom_template.master_board_pir_line_8,product_bom_template.master_board_pir,175,45,45
product_bom_template.master_board_pir_line_9,product_bom_template.master_board_pir,200,45,45
product_bom_template.master_board_pu_line_1,product_bom_template.master_board_pu,20,45,20
product_bom_template.master_board_pu_line_2,product_bom_template.master_board_pu,25,45,25
product_bom_template.master_board_pu_line_3,product_bom_template.master_board_pu,42,45,30
product_bom_template.master_board_pu_line_4,product_bom_template.master_board_pu,50,45,35
product_bom_template.master_board_pu_line_5,product_bom_template.master_board_pu,75,45,40
product_bom_template.master_board_pu_line_6,product_bom_template.master_board_pu,100,45,45
product_bom_template.master_board_pu_line_7,product_bom_template.master_board_pu,150,45,45
product_bom_template.master_board_pu_line_8,product_bom_template.master_board_pu,175,45,45
product_bom_template.master_board_pu_line_9,product_bom_template.master_board_pu,200,45,45
