"id","bom_id/id","product_id","product_qty_formula","product_uom"
"mrp.template_nonprogressive_joint_line1","mrp.template_nonprogressive_joint","[SP05020]","((14+line.W)<=457) and (line.mat_joint_choices.code in ('MF')) and (line.mat_inside_skin_choices.code=='GI8') and (line.mat_outside_skin_choices.code=='GI8') and (457*line.L/1000000*5.85*2) or 0.0","kg"
"mrp.template_nonprogressive_joint_line2","mrp.template_nonprogressive_joint","[SP05020]","((14+line.W)>610 and (14+line.W)<=914) and (line.mat_joint_choices.code in ('MF')) and (line.mat_inside_skin_choices.code=='GI8') and (line.mat_outside_skin_choices.code=='GI8') and (914*line.L/1000000*5.85*2) or 0.0","kg"
"mrp.template_nonprogressive_joint_line3","mrp.template_nonprogressive_joint","[SP01420]","(line.T.value==50) and (round(((line.W+line.L)*2/6000)+0,2)) or 0.0","pcs"
"mrp.template_nonprogressive_joint_line4","mrp.template_nonprogressive_joint","[SP01424]","(line.T.value==75) and (round(((line.W+line.L)*2/6000)+0,2)) or 0.0","pcs"
"mrp.template_nonprogressive_joint_line5","mrp.template_nonprogressive_joint","[SP05021]","(line.mat_insulation_choices.code == 'Rockwool') and (line.T.value==50) and (round((line.W*line.L/1000000/2.52)+0.5,0)) or 0.0","pcs"
"mrp.template_nonprogressive_joint_line6","mrp.template_nonprogressive_joint","[SP05021]","(line.mat_insulation_choices.code == 'Rockwool') and (line.T.value==75) and (round((line.W*line.L/1000000/1.68)+0.5,0)) or 0.0","pcs"
"mrp.template_nonprogressive_joint_line7","mrp.template_nonprogressive_joint","[SP03131]","(line.W*line.L/1000000*0.3) or 0.0","kg"
"mrp.template_nonprogressive_joint_line8","mrp.template_nonprogressive_joint","[SP03006]","(line.L/1000/200*2) or 0.0","roll"
