id,name_notused,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_cust_123,บริษัท จีอี เฮลธแคร์ ไบโอไซส์ (ประเทศไทย) จำกัด,"GE Healthcare Biosciences (Thailand) Co.,ltd.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,1550 อาคาร ธนภูมิ ชั้น 12 ห้อง จี ถ.เพชรบุรีตัดใหม่,แขวง มักกะสัน เขต ราชเทวี,10400,กรุงเทพมหานคร,Thailand,0-2624-8484,,0-2624-8490,,,,,Dusit T.
res_partner_cust_124,บริษัท โกลบอลเทค จำกัด,"Global Tech Co.,Ltd.",,60 Days,,TRUE,TRUE,FALSE,,Default,FALSE,35/51 ซอย ลาดพร้าว 124 ถ.ลาดพร้าว,แขวง วังทองหลาง เขต วังทองหลาง,10310,กรุงเทพมหานคร,Thailand,"0-2934-0433-5, 0-2538-6217, 0-2539-7018",,0-2539-0695,,,,,Chairat S.
res_partner_cust_125,บริษัท กรีนส์ดี จำกัด,"Greendii Co.,Ltd.",,Cash,200000,TRUE,TRUE,FALSE,,Default,FALSE,55/157 หมู่บ้านพฤกษาวิลเลจ คลอง 7 ถ.รังสิต-นครนายก,แขวง ลำผักกูด เขต ธัญบุรี,12110,ปทุมธานี,Thailand,0-2577-0907,,0-2577-3015,,,,,Weeranuwat S.
res_partner_cust_126,บริษัท องค์การเภสัชกรรม-เมอร์ริเออร์ชีววัตถุ จำกัด,"GOVERNMENT PHARMACEUTICAL ORGANIZATION-MERIEUX BIOLOGICAL PRODUCTS CO.,LTD.",,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,241 หมู่ 7,แขวง หัวสำโรง เขต แปลงยาว,24190,ฉะเชิงเทรา,Thailand,0-3857-9200,,0-3857-5428,,,,,Weeranuwat S.
res_partner_cust_127,บริษัท เกรท คูล เอ็นจิเนียริ่ง จำกัด,"Great Cool Engineering Co.,Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,41/13 หมู่ 10 ถ.,แขวง บางด้วน เขต ภาษีเจริญ,10160,กรุงเทพมหานคร,Thailand,0-2454-1708,,0-2454-1708,,,,,Dusit T.
res_partner_cust_128,บริษัท โกลด์แมน เทรด จำกัด,"Goldman Trade Co., Ltd.",,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,22 ถ.จรัญสนิทวงศ์,แขวง อรุณอมรินทร์ เขต บางกอกน้อย,10700,กรุงเทพมหานคร,Thailand,,,,,,,,Chairat S.
res_partner_cust_129,บริษัท โกลด์แมน เทรด จำกัด (Invoice),"Goldman Trade Co., Ltd.",,,,FALSE,TRUE,FALSE,บริษัท โกลด์แมน เทรด จำกัด,Invoice,FALSE,689/26 ถ.จรัญสนิทวงศ์,แขวง อรุณอมรินทร์ เขต บางกอกน้อย,10700,กรุงเทพมหานคร,Thailand,0-2882-4063,,,,,,,Chairat S.
res_partner_cust_130,บริษัท ไฮคีย์ แอร์คอนด์ เทคโนโลยี จำกัด,"Hikey Aircond Technology Co.,Ltd.",,30 Days,500000,TRUE,TRUE,FALSE,,Default,FALSE,39/66 หมู่ 1,แขวง รังสิต เขต ธัญบุรี,12110,ปทุมธานี,Thailand,0-2577-5642,08-7682-3500,0-2577-5642,,,,,Chatchai T.
res_partner_cust_131,บริษัท ฮิตาชิ จำกัด,"Hitachi Co.,Ltd.",,30 Days,1000000,TRUE,TRUE,FALSE,,Default,FALSE,952 อาคาร รามาแลนด์ ชั้น 19 ถ.พระราม 4,แขวง สุริยวงศ์ เขต บางรัก,10500,กรุงเทพมหานคร,Thailand,0-2879-5770,,0-2879-5771,,,,,Surasak S.
res_partner_cust_132,บริษัท แฮส 155 จำกัด,"Hass 155 Co.,Ltd.",,30 Days,10000000,TRUE,TRUE,FALSE,,Default,FALSE,99/134 ถ.ปทุมสามโคก,แขวง บางปรอก เขต เมือง,12000,ปทุมธานี,Thailand,0-2581-7099,,0-2581-1134,,,,,Chairat S.
