"id","loc_rack","loc_row","loc_case"
"product.product_part_104","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_105","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_106","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_107","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_108",,,"โกดังอะลูมิเนียม"
"product.product_part_109","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_110","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_111",,,"โกดังอะลูมิเนียม"
"product.product_part_112",,,"โกดังอะลูมิเนียม"
"product.product_part_113","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_114",,,"โกดังอะลูมิเนียม"
"product.product_part_115","01-01",,"โกดังอะลูมิเนียม"
"product.product_part_116",,,"โกดังอะลูมิเนียม"
"product.product_part_117","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_118","01-21",,"โกดังอะลูมิเนียม"
"product.product_part_119","01-21",,"โกดังอะลูมิเนียม"
"product.product_part_120","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_121","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_122","01-22",,"โกดังอะลูมิเนียม"
"product.product_part_123","01-23",,"โกดังอะลูมิเนียม"
"product.product_part_124","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_125","01-04",,"โกดังอะลูมิเนียม"
"product.product_part_126","01-01",,"โกดังอะลูมิเนียม"
"product.product_part_127","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_128","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_129",,,"โกดังอะลูมิเนียม"
"product.product_part_130","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_131","01-09",,"โกดังอะลูมิเนียม"
"product.product_part_132","01-20",,"โกดังอะลูมิเนียม"
"product.product_part_133","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_134",,,"โกดังอะลูมิเนียม"
"product.product_part_135",,,"โกดังอะลูมิเนียม"
"product.product_part_136","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_137",,,"โกดังอะลูมิเนียม"
"product.product_part_138",,,"โกดังอะลูมิเนียม"
"product.product_part_139",,,"โกดังอะลูมิเนียม"
"product.product_part_140","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_141",,,"โกดังอะลูมิเนียม"
"product.product_part_142","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_143","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_144","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_145","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_146","01-18",,"โกดังอะลูมิเนียม"
"product.product_part_147",,,"โกดังอะลูมิเนียม"
"product.product_part_148",,,"โกดังอะลูมิเนียม"
"product.product_part_149","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_150",,,"โกดังอะลูมิเนียม"
"product.product_part_151",,,"โกดังอะลูมิเนียม"
"product.product_part_152",,,"โกดังอะลูมิเนียม"
"product.product_part_153","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_154",,,"โกดังอะลูมิเนียม"
"product.product_part_155","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_156","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_157","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_158","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_159",,,"โกดังอะลูมิเนียม"
"product.product_part_160",,,"โกดังอะลูมิเนียม"
"product.product_part_161","01-11",,"โกดังอะลูมิเนียม"
"product.product_part_162",,,"โกดังอะลูมิเนียม"
"product.product_part_163","01-11",,"โกดังอะลูมิเนียม"
"product.product_part_164","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_165","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_166",,,"โกดังอะลูมิเนียม"
"product.product_part_167","01-15",,"โกดังอะลูมิเนียม"
"product.product_part_168","01-15",,"โกดังอะลูมิเนียม"
"product.product_part_169","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_170",,,"โกดังอะลูมิเนียม"
"product.product_part_171","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_172","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_173",,,"โกดังอะลูมิเนียม"
