id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_std-ahu-amair_1293,PNL ASSY 50MM 0305 GI/GI 0B,362-2AS0305GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,303,Output VAT,Input VAT
product.product_std-ahu-amair_1294,PNL ASSY 50MM 0306 CL/CL 0B,362-2AS0306CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,373,Output VAT,Input VAT
product.product_std-ahu-amair_1295,PNL ASSY 50MM 0306 CL/GI 0B,362-2AS0306CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,369,Output VAT,Input VAT
product.product_std-ahu-amair_1296,PNL ASSY 50MM 0306 GI/GI 0B,362-2AS0306GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,363,Output VAT,Input VAT
product.product_std-ahu-amair_1297,PNL ASSY 50MM 0306 CL/SS 0B,362-2AS0306CLSS0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,896,Output VAT,Input VAT
product.product_std-ahu-amair_1298,PNL ASSY 50MM 0307 CL/CL 0B,362-2AS0307CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,436,Output VAT,Input VAT
product.product_std-ahu-amair_1299,PNL ASSY 50MM 0307 CL/GI 0B,362-2AS0307CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,430,Output VAT,Input VAT
product.product_std-ahu-amair_1300,PNL ASSY 50MM 0307 GI/GI 0B,362-2AS0307GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,426,Output VAT,Input VAT
product.product_std-ahu-amair_1301,PNL ASSY 50MM 0308 CL/CL 0B,362-2AS0308CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,500,Output VAT,Input VAT
product.product_std-ahu-amair_1302,PNL ASSY 50MM 0308 CL/GI 0B,362-2AS0308CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,494,Output VAT,Input VAT
product.product_std-ahu-amair_1303,PNL ASSY 50MM 0308 GI/GI 0B,362-2AS0308GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,486,Output VAT,Input VAT
product.product_std-ahu-amair_1304,PNL ASSY 50MM 0308 CL/SS 0B,362-2AS0308CLSS0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1209,Output VAT,Input VAT
product.product_std-ahu-amair_1305,PNL ASSY 50MM 0309 CL/CL 0B,362-2AS0309CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,562,Output VAT,Input VAT
product.product_std-ahu-amair_1306,PNL ASSY 50MM 0309 CL/GI 0B,362-2AS0309CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,555,Output VAT,Input VAT
product.product_std-ahu-amair_1307,PNL ASSY 50MM 0309 GI/GI 0B,362-2AS0309GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,547,Output VAT,Input VAT
product.product_std-ahu-amair_1308,PNL ASSY 50MM 0310 CL/CL 0B,362-2AS0310CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,625,Output VAT,Input VAT
product.product_std-ahu-amair_1309,PNL ASSY 50MM 0310 CL/GI 0B,362-2AS0310CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,617,Output VAT,Input VAT
product.product_std-ahu-amair_1310,PNL ASSY 50MM 0310 GI/GI 0B,362-2AS0310GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,608,Output VAT,Input VAT
product.product_std-ahu-amair_1311,PNL ASSY 50MM 0310 CL/SS 0B,362-2AS0310CLSS0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,1508,Output VAT,Input VAT
product.product_std-ahu-amair_1312,PNL ASSY 50MM 0311 CL/CL 0B,362-2AS0311CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,686,Output VAT,Input VAT
product.product_std-ahu-amair_1313,PNL ASSY 50MM 0311 CL/GI 0B,362-2AS0311CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,678,Output VAT,Input VAT
product.product_std-ahu-amair_1314,PNL ASSY 50MM 0311 GI/GI 0B,362-2AS0311GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,670,Output VAT,Input VAT
product.product_std-ahu-amair_1315,PNL ASSY 50MM 0312 CL/CL 0B,362-2AS0312CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,751,Output VAT,Input VAT
product.product_std-ahu-amair_1316,PNL ASSY 50MM 0312 CL/GI 0B,362-2AS0312CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,739,Output VAT,Input VAT
product.product_std-ahu-amair_1317,PNL ASSY 50MM 0312 GI/GI 0B,362-2AS0312GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,731,Output VAT,Input VAT
product.product_std-ahu-amair_1318,PNL ASSY 50MM 0313 CL/CL 0B,362-2AS0313CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,812,Output VAT,Input VAT
product.product_std-ahu-amair_1319,PNL ASSY 50MM 0313 CL/GI 0B,362-2AS0313CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,802,Output VAT,Input VAT
product.product_std-ahu-amair_1320,PNL ASSY 50MM 0313 GI/GI 0B,362-2AS0313GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,792,Output VAT,Input VAT
product.product_std-ahu-amair_1321,PNL ASSY 50MM 0314 CL/CL 0B,362-2AS0314CLCL0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,874,Output VAT,Input VAT
product.product_std-ahu-amair_1322,PNL ASSY 50MM 0314 CL/GI 0B,362-2AS0314CLGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,863,Output VAT,Input VAT
product.product_std-ahu-amair_1323,PNL ASSY 50MM 0314 GI/GI 0B,362-2AS0314GIGI0B,Standard AHU,"Amair Co.,Ltd.",Standard AHU,TRUE,FALSE,FALSE,Stockable Product,Make to Order,Manufacture,Standard Price,EA,EA,Real Time (automated),0,851,Output VAT,Input VAT
