id,name,code,parent_id/id,type,user_type/id,reconcile
coa_sqp_502130,ค่าธรรมเนียมอื่น,502130,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_502140,ค่าบริการ,502140,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_502150,ค่าเบี้ยปรับเงินเพิ่ม,502150,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_502160,ค่าภาษีซื้อขอคืนไม่ได้,502160,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_502161,ภาษีซื้อที่เป็นค่าใช้จ่าย,502161,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_502170,ค่าใช้จ่ายต้องห้ามตามประมวลฯ,502170,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_502190,ค่าใช้จ่ายเบ็ดเตล็ด,502190,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_502191,ส่วนขาด(ส่วนเกิน)จากเศษสตางค์,502191,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_503110,ดอกเบี้ยจ่าย,503110,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_503111,ดอกเบี้ยเบิกเกินบัญชีธนาคาร,503111,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_503112,ดอกเบี้ยเงินกู้ธนาคาร,503112,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_504110,ภาษีเงินได้นิติบุคคลจ่าย,504110,coa_sqp_5021,Regular,account.data_account_type_expense,FALSE
coa_sqp_9000,ต้นทุนการผลิต,9000,coa_sqp_5001,View,account.data_account_type_view,FALSE
