id,name,ref,property_payment_term,credit_limit,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,mobile,fax,email,category_id/id,website,comment,user_id
res_partner_supplier_135,บริษัท อินไซท์ เอ็นจิเนียริ่ง จำกัด,,45 Days,,TRUE,TRUE,FALSE,,Default,FALSE,77/16 หมู่ 10 ,บางม่วง บางใหญ่,11140,นนทบุรี,,"0-2443-6667-9, 0-2921-4137-9",,0-2921-4145,,,,,Chairat S.
res_partner_supplier_136,บริษัท ไอเอคิวเอ็นจิเนียริ่ง จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,700/63 อาคาร รีเจ้นท์ศรีนครินทร์ ทาวเวอร์ ศรีนครินทร์,สวนหลวง สวนหลวง,10250,กรุงเทพมหานคร,,0-2722-7307,,0-2722-9068,,,,,Chatchai T.
res_partner_supplier_137,บริษัท อินเตอร์ เอเชีย ซิสเต็มส์ เอ็นจิเนียริ่ง จำกัด,,30 Days,1000000,TRUE,TRUE,FALSE,,Default,FALSE,19/146 หมู่ 7 บางนา-ตราด กม. 17.5,บางโฉลง บางพลี,10540,สมุทรปราการ,,0-2312-7836-7,,0-2312-7929,,,,,Chatchai T.
res_partner_supplier_138,บริษัท ไอโซ พาแนล จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,82 หมู่ 6 เศรษกิจ 1,นาดี เมือง,74000,สมุทรสาคร,,0-3446-8542-3,,0-3446-8541,,,,,Chairat S.
res_partner_supplier_139,บริษัท ไอ คอน ดักส์ จำกัด,,30 Days,200000,TRUE,TRUE,FALSE,,Default,FALSE,23/28 หมู่ 7 ,ลาดสวาย ลำลูกกา,12150,ปทุมธานี,,0-2994-4809,,0-2994-4809,,,,,Chatchai T.
res_partner_supplier_140,บริษัท ไอซีเอ็มเอส เอเชีย (ประเทศไทย) จำกัด,,30 Days,500000,TRUE,TRUE,FALSE,,Default,FALSE,39/13-16 ชั้น 4 ห้อง 4 เอ-ซี ซอย สวนพลู สาทร,ทุ่งมหาเมฆ สาทร,10120,กรุงเทพมหานคร,,0-2675-4101,,0-2675-4108,,,,,Dusit T.
res_partner_supplier_141,บริษัท อิตาเลี่ยนไทย เซรามิค เอ็นจิเนียริ่ง จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,17/12 หมู่ 1 เสรีไทย,คลองกุ่ม บึงกุ่ม,10240,กรุงเทพมหานคร,,0-2138-0437,,0-2138-0435,,,,,Weeranuwat S.
res_partner_supplier_142,บริษัท อินโนเวท คูล จำกัด,,PDC. 30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,204 ซอ่ย หมู่บ้านเลคการ์เด้น ซอย 2 ขุมทอง-ลำต้อยติ่ง,ขุมทอง ลาดกระบัง,10520,กรุงเทพมหานคร,,0-2704-1218,,0-2704-1218,,,,,Chairat S.
res_partner_supplier_143,บริษัท อินวินซิเบิ้ล จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,347/10 หมู่ 6 พหลโยธิน,สายไหม สายไหม,10220,กรุงเทพมหานคร,,0-2533-8501-3,,0-2531-9855,,,,,Chairat S.
res_partner_supplier_144,บริษัท อินเพ็ท จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,700/635 หมู่ 3 ,บ้านเก่า พานทอง,20160,ชลบุรี,,0-3844-7006-8,,0-3844-7009,,,,,Chatchai T.
res_partner_supplier_145,บริษัท อินซูล คูลลิ่ง เซ็นเตอร์ จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,130/6 หมู่ 3 ,รังสิต ธัญบุรี,12150,ปทุมธานี,,0-2904-4395-6,"08-1701-2110, 08-9815-9494, 08-1859-5840",0-2904-4397,,,,,Chatchai T.
res_partner_supplier_146,บริษัท เจ.อี.พี. เอ็นเตอร์ไพรส์ จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,235/8 ซอย สุขุมวิท 21 (อโศก) สุขุมวิท,คลองเตยเหนือ วัฒนา,10110,กรุงเทพมหานคร,,"0-2580-4479, 0-2261-6531",,"0-2258-3862, 0-2261-6530",,,,,Weeranuwat S.
res_partner_supplier_147,บริษัท เจดับบิว พาร์ท แอนด์ อีควิปเม้นท์ จำกัด,,PDC. 30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,733/405 หมู่ 8 ,คูคต ลำลูกกา,12130,ปทุมธานี,,0-2998-9389,,0-2998-9388,,,,,Weeranuwat S.
res_partner_supplier_148,ห้างหุ้นส่วนจำกัด ห้างขายยา กรุงเทพฯ ฟามาซี,,Cash,1000000,TRUE,TRUE,FALSE,,Default,FALSE,783 เจริญนคร,บางปะกอก ราษฎ์บูรณะ,10140,กรุงเทพมหานคร,,"0-2468-1412, 0-2468-1194",,0-2476-1366,,,,,Visak T.
res_partner_supplier_149,บริษัท เค.ท็อท (1993) จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,458/2 หมู่ 2 ,ช้างเผือก เมือง,50300,เชียงใหม่,,0-5321-3925,,0-5321-3925,,,,,
res_partner_supplier_150,บริษัท คิง เพาเวอร์ สุวรรณภูมิ จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,999 หมู่ 1 สนามบินสุวรรณภูมิ อาคารคอนคอร์ส เอ ชั้น 2 ,หนองปรือ บางพลี,10540,สมุทรปราการ,,,,,,,,,Chairat S.
res_partner_supplier_151,บริษัท คีพ คูล พาแนล จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,72 ซอย ลาดพร้าว 126 ลาดพร้าว,ลาดพร้าว วังทองหลาง,10310,กรุงเทพมหานคร,,0-2934-1188,,0-2934-1188,,,,,Surasak S.
res_partner_supplier_152,บริษัท เคทูวิน จำกัด,,30 Days,100000,TRUE,TRUE,FALSE,,Default,FALSE,102/3 หมู่ 3 ปทุมธานี-สามโคก,กระแชง สามโคก,12160,ปทุมธานี,,0-2581-7220-1,,0-2581-7221,,,,,Surasak S.
res_partner_supplier_153,บริษัท คันเนจึ (ประเทศไทย) จำกัด,,30 Days,1000000,TRUE,TRUE,FALSE,,Default,FALSE,84/5 หมู่ 9 บางนา-ตราด กม.39,บางวัว บางปะกง,24180,ฉะเชิงเทรา,,0-3898-9155-159,,0-3898-9160,,,,,Chairat S.
res_partner_supplier_154,ห้างหุ้นส่วนจำกัด เค.ดับบลิว.เทรดดิ้ง แอนด์ ซัพพลาย,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,27 ซอย บุญวงศ์ ,หาดใหญ่ หาดใหญ่,90110,สงขลา,,0-7425-3653,,0-7425-2325,,,,,Chatchai T.
res_partner_supplier_155,ห้างหุ้นส่วนจำกัด เค อาร์ อาร์ ดีไซด์ กรุ๊ป,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,25/16 หมู่ 8 ,บางตลาด ปากเกร็ด,11120,นนทบุรี,,0-2984-4298-9,,0-2984-4404,,,,,Weeranuwat S.
res_partner_supplier_156,บริษัท คัมภีร์วิศวกรรม จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,96/98 ซอย นพเก้า ประชาชื่น,บางซื่อ บางซื่อ,108000,กรุงเทพมหานคร,,0-2926-5650,,0-2195-2807,,,,,Weeranuwat S.
res_partner_supplier_157,บริษัท กาญจน์ญาณ์ จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,77/38 หมู่ 6 ,บึงคำพร้อย ลำลูกกา,12150,ปทุมธานี,,,08-7917-5175,0-2532-7386,,,,,Chatchai T.
res_partner_supplier_158,บริษัท โกเบ เอ็นจิเนียริ่ง จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,67/9 หมู่ 5 ,บางหญ้าแพรก พระประแดง,10130,สมุทรปราการ,,0-2754-5503,,,,,,,Chatchai T.
res_partner_supplier_159,บริษัท คาวาซูมิ ลาบอราทอรี่ (ประเทศไทย) จำกัด,,Cash,,TRUE,TRUE,FALSE,,Default,FALSE,55/26 หมู่ 13 พหลโยธิน กม. 46,คลองหนึ่ง คลองหลวง,12120,ปทุมธานี,,0-2966-0911,,0-2966-0916-7,,,,,
res_partner_supplier_160,บริษัท ไลฟบอคซ์ โมดูล่า จำกัด,,Cash,200000,TRUE,TRUE,FALSE,,Default,FALSE,455/64 หมู่ 1 รัตนราช,บางบ่อ บางบ่อ,10560,สมุทรปราการ,,,,,,,,,Visak T.
res_partner_supplier_161,ห้างหุ้นส่วนจำกัด ลำพูน เจเนอร์รัล เอ็นจิเนียริ่ง,,30 Days,2000000,TRUE,TRUE,FALSE,,Default,FALSE,192/36 หมู่ 15 ,ป่าสัก เมือง,51000,ลำพูน,,0-5358-4991-2,,"0-5358-4993, 0-5358-4458",,,,,Chatchai T.
res_partner_supplier_162,บริษัท แม็คคาตริค จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,1564/19 ประชาราษฎร์ 1,บางซื่อ บางซื่อ,10800,กรุงเทพมหานคร,,"0-2913-2237-8, 0-2587-8462-3",,0-2913-2239,,,,,Chairat S.
res_partner_supplier_163,บริษัท เอ็ม แอนด์ ดับเบิลยู แซนเดอร์ (ไทย) จำกัด,,30 Days,,TRUE,TRUE,FALSE,,Default,FALSE,252/91 อาคาร เมืองไทยภัทร ทาวเวอร์ ชั้น 16 รัชดาภิเษก,ห้วยขวาง ห้วยขวาง,10320,กรุงเทพมหานคร,,0-2693-3222-4,,0-2693-3225,,,,,Chairat S.
res_partner_supplier_164,บริษัท เอ็ม.ที. อินโนเวชั่น จำกัด,,Cash,1000000,TRUE,TRUE,FALSE,,Default,FALSE,293/310 ซอย รามอินทรา 119 รามอินทรา,มีนบุรี มีนบุรี,10510,กรุงเทพมหานคร,,0-2934-4026,,0-2934-4027,,,,,Dusit T.
res_partner_supplier_165,บริษัท โมดูลาร์เอ็นจิเนียร์โปรดักส์ซัพพลาย จำกัด,,30 Days,500000,TRUE,TRUE,FALSE,,Default,FALSE,39/13-16 ชั้น 4 ห้อง D ซอย สวนพลู สาทร,ทุ่งมหาเมฆ สาทร,10270,กรุงเทพมหานคร,,0-2755-0779,,0-2755-0780,,,,,Dusit T.
