id,name,default_code,partner_id,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price
product_coldroom_30,"Single swing door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,64000
product_coldroom_31,"Single swing door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,51000
product_coldroom_32,"Single swing door (4 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,67000
product_coldroom_33,"Double swing door (3 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,96000
product_coldroom_34,"Double swing door (3 Frame) Size : (W) 2,400 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,120000
product_coldroom_35,"Double swing door (4 Frame) Size : (W) 1,600 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,102000
product_coldroom_36,"Double swing door (4 Frame) Size : (W) 2,400 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,128000
product_coldroom_37,"Sliding door (3 Frame) Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,65000
product_coldroom_38,"Sliding door (3 Frame) Size : (W) 1,200 x (H) 2,000 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,70000
product_coldroom_39,"Sliding door (3 Frame) Size : (W) 2,400 x (H) 2,400 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,85000
product_coldroom_40,"Sliding door (4 Frame) Size : (W) 800 x (H) 1,800 x (T) 100 mm.",,,Cold Room,TRUE,FALSE,Consumable,Make to Order,Buy,Standard Price,Sale Info,set,set,Periodical (manual),0,60000
