"id","name","default_code","categ_id","uom_id","uos_id","uos_coeff","loc_rack","loc_row","loc_case",,
"product.product_part_42","AL PROFILE FOR LIGHTING 42 mm(OW)","SP01051","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
"product.product_part_43","AL PROFILE FOR LIGHTING 42 mm(AP)","SP01052","Aluminium","pcs","kg",3,"01-20",,"โกดังอะลูมิเนียม",,
"product.product_part_44","AL CAP FOR DOOR HEATER(NA.1)","SP01053","Aluminium","pcs","kg",1,,,"โกดังอะลูมิเนียม",,
"product.product_part_45","AL CAP FOR DOOR HEATER(MF)","SP01054","Aluminium","pcs","kg",1,,,"โกดังอะลูมิเนียม",,
"product.product_part_46","AL CAP FOR DOOR HEATER(OW)","SP01055","Aluminium","pcs","kg",1,"01-04",,"โกดังอะลูมิเนียม",,
"product.product_part_47","AL CAP FOR DOOR HEATER(AP)","SP01056","Aluminium","pcs","kg",1,"01-04",,"โกดังอะลูมิเนียม",,
"product.product_part_47-1","AL RAIL FOR CLEAN ROOM(OW)","SP01059","Aluminium","pcs","kg",,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_48","AL U CAP 30X75X30 mmCOLD ROOM(NA.1)","SP01061","Aluminium","pcs","kg",6,"01-07",,"โกดังอะลูมิเนียม",,
"product.product_part_49","AL U CAP 30X75X30 mmCOLD ROOM(MF)","SP01062","Aluminium","pcs","kg",6,,,"โกดังอะลูมิเนียม",,
"product.product_part_50","AL U CAP 30X75X30 mmCOLD ROOM(OW)","SP01063","Aluminium","pcs","kg",6,"01-07",,"โกดังอะลูมิเนียม",,
"product.product_part_51","AL U CAP 30X75X30 mmCOLD ROOM(AP)","SP01064","Aluminium","pcs","kg",6,,,"โกดังอะลูมิเนียม",,
"product.product_part_52","AL U CAP 30X100X30 mmCOLD ROOM(NA.1)","SP01065","Aluminium","pcs","kg",7,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_53","AL U CAP 30X100X30 mmCOLD ROOM(MF)","SP01066","Aluminium","pcs","kg",7,,,"โกดังอะลูมิเนียม",,
"product.product_part_54","AL U CAP 30X100X30 mmCOLD ROOM(OW)","SP01067","Aluminium","pcs","kg",7,,,"โกดังอะลูมิเนียม",,
"product.product_part_55","AL U CAP 30X100X30 mmCOLD ROOM(AP)","SP01068","Aluminium","pcs","kg",7,,,"โกดังอะลูมิเนียม",,
"product.product_part_56","AL SKIRT(NA.1)","SP01069","Aluminium","pcs","kg",1,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_57","AL SKIRT(MF)","SP01070","Aluminium","pcs","kg",1,,,"โกดังอะลูมิเนียม",,
"product.product_part_58","AL SKIRT(OW)","SP01071","Aluminium","pcs","kg",1,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_59","AL SKIRT(AP)","SP01072","Aluminium","pcs","kg",1,,,"โกดังอะลูมิเนียม",,
"product.product_part_60","AL T-BAR(NA.1)","SP01073","Aluminium","pcs","kg",3,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_61","AL T-BAR(MF)","SP01074","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
"product.product_part_62","AL T-BAR(OW)","SP01075","Aluminium","pcs","kg",3,"01-13",,"โกดังอะลูมิเนียม",,
"product.product_part_63","AL T-BAR(AP)","SP01076","Aluminium","pcs","kg",3,"01-13",,"โกดังอะลูมิเนียม",,
"product.product_part_64","AL T - BAR NEW 50 mm(NA.1)","SP01081","Aluminium","pcs","kg",4,"01-02",,"โกดังอะลูมิเนียม",,
"product.product_part_65","AL T - BAR NEW 50 mm(MF)","SP01082","Aluminium","pcs","kg",4,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_66","AL T - BAR NEW 50 mm(OW)","SP01083","Aluminium","pcs","kg",4,"01-09",,"โกดังอะลูมิเนียม",,
"product.product_part_67","AL T - BAR NEW 50 mm(AP)","SP01084","Aluminium","pcs","kg",4,"01-09",,"โกดังอะลูมิเนียม",,
"product.product_part_68","AL CAP 40X50X40 mm(NA.1)","SP01093","Aluminium","pcs","kg",4,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_69","AL CAP 40X50X40 mm(MF)","SP01094","Aluminium","pcs","kg",4,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_70","AL CAP 40X50X40 mm(OW)","SP01095","Aluminium","pcs","kg",4,"01-04",,"โกดังอะลูมิเนียม",,
"product.product_part_71","AL CAP 40X50X40 mm(AP)","SP01096","Aluminium","pcs","kg",4,"01-04",,"โกดังอะลูมิเนียม",,
"product.product_part_72","AL FLOOR BASE 50 mm(I)(NA.1)","SP01097","Aluminium","pcs","kg",5,"01-01",,"โกดังอะลูมิเนียม",,
"product.product_part_73","AL FLOOR BASE 50 mm(I)(MF)","SP01098","Aluminium","pcs","kg",5,,,"โกดังอะลูมิเนียม",,
"product.product_part_74","AL FLOOR BASE 50 mm(I)(OW)","SP01099","Aluminium","pcs","kg",5,"01-01",,"โกดังอะลูมิเนียม",,
"product.product_part_75","AL FLOOR BASE 50 mm(I)(AP)","SP01100","Aluminium","pcs","kg",5,,,"โกดังอะลูมิเนียม",,
"product.product_part_76","AL FRAME 42 mm(MF)","SP01102","Aluminium","pcs","kg",1,"01-13",,"โกดังอะลูมิเนียม",,
"product.product_part_77","AL INSERT FOR AL FRAME 42 mm(MF)","SP01106","Aluminium","pcs","kg",1,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_78","AL FOR PVC COVING(MF)","SP01110","Aluminium","pcs","kg",,"01-06",,"โกดังอะลูมิเนียม",,
"product.product_part_79","AL DOOR FRAME(NON FLUSH)(NA.1)","SP01113","Aluminium","pcs","kg",,"01-09",,"โกดังอะลูมิเนียม",,
"product.product_part_80","AL DOOR FRAME(NON FLUSH)(MF)","SP01114","Aluminium","pcs","kg",,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_81","AL DOOR FRAME(NON FLUSH)(OW)","SP01115","Aluminium","pcs","kg",,"01-12",,"โกดังอะลูมิเนียม",,
"product.product_part_82","AL DOOR FRAME(NON FLUSH)(AP)","SP01116","Aluminium","pcs","kg",,"01-12",,"โกดังอะลูมิเนียม",,
"product.product_part_83","AL U CAP FOR DOOR(NA.1)","SP01117","Aluminium","pcs","kg",,"01-02",,"โกดังอะลูมิเนียม",,
"product.product_part_84","AL U CAP FOR DOOR(MF)","SP01118","Aluminium","pcs","kg",,,,"โกดังอะลูมิเนียม",,
"product.product_part_85","AL U CAP FOR DOOR(OW)","SP01119","Aluminium","pcs","kg",,"01-22",,"โกดังอะลูมิเนียม",,
"product.product_part_86","AL U CAP FOR DOOR(AP)","SP01120","Aluminium","pcs","kg",,"01-22",,"โกดังอะลูมิเนียม",,
