id,name,default_code,categ_id,partner_id,tag_ids,sale_ok,purchase_ok,is_one_time_use,type,procure_method,supply_method,cost_method,uom_id,uom_po_id,valuation,standard_price,list_price,taxes_id,supplier_taxes_id
product.product_clean_room_21,Ceiling Panel (T) 42 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1250,Output VAT 7%,Input VAT
product.product_clean_room_22,Ceiling Panel (T) 50 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1540,Output VAT 7%,Input VAT
product.product_clean_room_23,Ceiling Panel (T) 50 mm. Polyurethane Foam (Color / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1500,Output VAT 7%,Input VAT
product.product_clean_room_24,Ceiling Panel (T) 50 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1450,Output VAT 7%,Input VAT
product.product_clean_room_25,Ceiling Panel (T) 75 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1900,Output VAT 7%,Input VAT
product.product_clean_room_26,Ceiling Panel (T) 75 mm. Polyurethane Foam (Color / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1850,Output VAT 7%,Input VAT
product.product_clean_room_27,Ceiling Panel (T) 75 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1800,Output VAT 7%,Input VAT
product.product_clean_room_28,Ceiling Panel (T) 100 mm. Polyurethane Foam (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,2000,Output VAT 7%,Input VAT
product.product_clean_room_29,Ceiling Panel (T) 100 mm. Polyurethane Foam (Color / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1900,Output VAT 7%,Input VAT
product.product_clean_room_30,Ceiling Panel (T) 100 mm. Polyurethane Foam (Galvanized / Galvanized),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,1850,Output VAT 7%,Input VAT
product.product_clean_room_31,Panel (T) 100 mm. Wall return air (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,6000,Output VAT 7%,Input VAT
product.product_clean_room_32,Panel (T) 100 mm. Wall return air (Stainless /Stainless),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,12000,Output VAT 7%,Input VAT
product.product_clean_room_33,Panel (T) 200 mm. Wall return air (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,8000,Output VAT 7%,Input VAT
product.product_clean_room_34,Panel (T) 200 mm. Wall return air (Stainless /Stainless),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,16000,Output VAT 7%,Input VAT
product.product_clean_room_35,Panel (T) 200 mm. Wall return for Hepa (Color/Color) Excluded Hepa,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,12000,Output VAT 7%,Input VAT
product.product_clean_room_36,Panel (T) 200 mm. Wall return for Hepa (Stainless /Stainless) Excluded Hepa,,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,20000,Output VAT 7%,Input VAT
product.product_clean_room_37,Wall Panel (T) 42 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,2840,Output VAT 7%,Input VAT
product.product_clean_room_38,Wall Panel (T) 50 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,3000,Output VAT 7%,Input VAT
product.product_clean_room_39,Wall Panel (T) 75 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,3500,Output VAT 7%,Input VAT
product.product_clean_room_40,Wall Panel (T) 100 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,4000,Output VAT 7%,Input VAT
product.product_clean_room_41,Wall Panel (T) 125 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,4500,Output VAT 7%,Input VAT
product.product_clean_room_42,Ceiling Panel (T) 42 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,2840,Output VAT 7%,Input VAT
product.product_clean_room_43,Ceiling Panel (T) 50 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,3000,Output VAT 7%,Input VAT
product.product_clean_room_44,Ceiling Panel (T) 75 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,3500,Output VAT 7%,Input VAT
product.product_clean_room_45,Ceiling Panel (T) 100 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,4000,Output VAT 7%,Input VAT
product.product_clean_room_46,Ceiling Panel (T) 125 mm. Rock Wool (Color / Color),,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,sqm,sqm,Periodical (manual),0,4500,Output VAT 7%,Input VAT
product.product_clean_room_47,"Single swing door 3 Frame (W) 900 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,25000,Output VAT 7%,Input VAT
product.product_clean_room_48,"Single swing door 3 Frame (W) 900 x (H) 2,100 x (T) 42 mm. (SS/SS)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,30000,Output VAT 7%,Input VAT
product.product_clean_room_49,"Single swing door 4 Frame (W) 900 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,25000,Output VAT 7%,Input VAT
product.product_clean_room_50,"Single swing door 4 Frame (W) 900 x (H) 2,100 x (T) 42 mm. (SS/SS)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,30000,Output VAT 7%,Input VAT
product.product_clean_room_51,"Double swing door 3 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,35000,Output VAT 7%,Input VAT
product.product_clean_room_52,"Double swing door 3 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (SS/SS)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT 7%,Input VAT
product.product_clean_room_53,"Double swing door 4 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,35000,Output VAT 7%,Input VAT
product.product_clean_room_54,"Double swing door 4 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (SS/SS)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT 7%,Input VAT
product.product_clean_room_55,"Single swing door 3 Frame (W) 900 x (H) 2,100 x (T) 50 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,27000,Output VAT 7%,Input VAT
product.product_clean_room_56,"Single swing door 3 Frame (W) 900 x (H) 2,100 x (T) 50 mm. (SS/SS)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,34000,Output VAT 7%,Input VAT
product.product_clean_room_57,"Single swing door 4 Frame (W) 900 x (H) 2,100 x (T) 50 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,27000,Output VAT 7%,Input VAT
product.product_clean_room_58,"Single swing door 4 Frame (W) 900 x (H) 2,100 x (T) 50 mm. (SS/SS)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,34000,Output VAT 7%,Input VAT
product.product_clean_room_59,"Combination swing door 3 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,35000,Output VAT 7%,Input VAT
product.product_clean_room_60,"Combination swing door 3 Frame (W) 1,800 x (H) 2,100 x (T) 42 mm. (SS/SS)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,40000,Output VAT 7%,Input VAT
product.product_clean_room_61,"Single sliding door 3 Frame (W) 900 x (H) 2,100 x (T) 42 mm. (Color steel sheet)",,Non-Standard,,Clean Room,TRUE,FALSE,FALSE,Service,Make to Order,Manufacture,Standard Price,set,set,Periodical (manual),0,35000,Output VAT 7%,Input VAT
